startTime endTime result
startOfPromise 1564062385720
startOfPromise 1564062385741
1564062385727 1564062387912 54
1564062385720 1564062387935 54
1564062385740 1564062387958 54
1564062385740 1564062387986 54
1564062385739 1564062388008 54
1564062385739 1564062388026 54
1564062385730 1564062388057 54
1564062385737 1564062388106 54
1564062385737 1564062388122 54
1564062385736 1564062388150 54
1564062385738 1564062388171 54
1564062385738 1564062388182 54
1564062385736 1564062388190 54
1564062385736 1564062388207 54
1564062385735 1564062388218 54
1564062385730 1564062388243 54
1564062385735 1564062388258 54
1564062385732 1564062388266 54
1564062385731 1564062388274 54
1564062385731 1564062388280 54
iteration:0 transactions:20 timeout:2000
startOfPromise 1564062390286
startOfPromise 1564062390334
1564062390286 1564062392084 54
1564062390288 1564062392093 54
1564062390333 1564062392106 54
1564062390331 1564062392125 54
1564062390331 1564062392129 54
1564062390330 1564062392152 54
1564062390315 1564062392274 54
1564062390320 1564062392299 54
1564062390320 1564062392310 54
1564062390330 1564062392365 54
1564062390305 1564062392542 54
1564062390304 1564062392545 54
1564062390295 1564062392548 54
1564062390333 1564062392551 54
1564062390333 1564062392557 54
1564062390334 1564062392560 54
1564062390290 1564062392562 54
1564062390291 1564062392565 54
1564062390292 1564062392575 54
1564062390294 1564062392581 54
1564062390311 1564062392609 54
1564062390314 1564062392614 54
1564062390315 1564062392619 54
1564062390329 1564062392626 54
1564062390330 1564062392628 54
1564062390308 1564062392640 54
1564062390308 1564062392682 54
1564062390309 1564062392685 54
1564062390310 1564062392688 54
1564062390310 1564062392691 54
iteration:1 transactions:30 timeout:2000
